scenario_id,encounter_requested,encounter_observed,role,cas,cas_name,dcpa_target_m,tcpa_target_s,own_speed_kn,tgt_speed_kn,own_vessel,tgt_vessel,tgt_status,visibility,initial_range_m,relative_bearing_deg,tgt_heading_deg,min_dist_m,min_intrusion,safe,domain_respected,collision,excess_path_pct,progress_loss_pct,cross_track_m,heading_changes,total_alteration_deg,crossed_ahead,encounter,starboard_alteration,substantial_action,early_action,no_cross_ahead,stand_on_held,compliance
crossing_0081,crossing,crossing,give_way,velocity_obstacle,Velocity obstacle,905.2102387995425,1270.4821871533677,10.165890421535611,15.0394275745311,coastal_tanker,handysize_bulker,power_driven,good,14718.309274525456,29.682575031403005,234.9371994131549,1084.3729232539781,4.697986888642635,True,True,False,-0.010679826530354734,0.05401378820913738,207.34364155995837,16,4.9997823873688105,False,crossing,0.0,0.0,1.0,1.0,,0.5
crossing_0081,crossing,crossing,give_way,mpc,MPC,905.2102387995425,1270.4821871533677,10.165890421535611,15.0394275745311,coastal_tanker,handysize_bulker,power_driven,good,14718.309274525456,29.682575031403005,234.9371994131549,1053.4378646126233,4.564532750028888,True,True,False,-1.4394993045887146,1.4394993045887146,0.0,0,0.0,False,crossing,0.0,0.0,1.0,1.0,,0.5
crossing_0082,crossing,crossing,give_way,no_action,No action (baseline),763.9256918813005,1325.5775060484752,15.74754896613722,11.581437812978606,vlcc,container_feeder,fishing,good,10235.05327098066,48.49369525080696,295.68682307359904,763.9386330080139,0.6055066642070165,False,False,False,1.199170929121188e-12,-1.199170929121188e-12,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0082,crossing,crossing,give_way,rule_based,Rule-based COLREGS,763.9256918813005,1325.5775060484752,15.74754896613722,11.581437812978606,vlcc,container_feeder,fishing,good,10235.05327098066,48.49369525080696,295.68682307359904,1966.997328286184,1.892970975292329,True,True,False,-1.6555019775098891,5.60860995215675,3814.0252567857774,78,37.632236126045875,False,crossing,1.0,1.0,1.0,1.0,,1.0
crossing_0082,crossing,crossing,give_way,velocity_obstacle,Velocity obstacle,763.9256918813005,1325.5775060484752,15.74754896613722,11.581437812978606,vlcc,container_feeder,fishing,good,10235.05327098066,48.49369525080696,295.68682307359904,1097.6230938493882,0.9034553849905448,True,False,False,-0.508571115373411,1.5978214105014394,2229.8520900461162,66,21.560542964318444,False,crossing,1.0,0.0,1.0,1.0,,0.75
crossing_0082,crossing,crossing,give_way,mpc,MPC,763.9256918813005,1325.5775060484752,15.74754896613722,11.581437812978606,vlcc,container_feeder,fishing,good,10235.05327098066,48.49369525080696,295.68682307359904,1069.0795988857772,0.8524832509332338,True,False,False,-9.095966620305662,9.095966620305662,0.0,0,0.0,False,crossing,0.0,0.0,1.0,1.0,,0.5
crossing_0083,crossing,crossing,give_way,no_action,No action (baseline),159.61144502284452,1219.7727522712703,11.663100000045974,12.16478559194601,vlcc,handysize_bulker,power_driven,good,14361.284441475149,15.889774220163849,212.35327490639108,159.6338657472503,0.25705173294118533,False,False,True,-3.879150798205486e-13,3.879150798205486e-13,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0083,crossing,crossing,give_way,rule_based,Rule-based COLREGS,159.61144502284452,1219.7727522712703,11.663100000045974,12.16478559194601,vlcc,handysize_bulker,power_driven,good,14361.284441475149,15.889774220163849,212.35327490639108,2946.5860444048876,5.205402337951799,True,True,False,-2.6592983207550844,6.6314457083712455,2839.6922157909703,102,39.22374846341935,False,crossing,1.0,1.0,1.0,1.0,,1.0
crossing_0083,crossing,crossing,give_way,velocity_obstacle,Velocity obstacle,159.61144502284452,1219.7727522712703,11.663100000045974,12.16478559194601,vlcc,handysize_bulker,power_driven,good,14361.284441475149,15.889774220163849,212.35327490639108,1096.82186225549,1.7867856621759404,True,True,False,-0.22984698756446814,0.5693335462648859,958.0163366849469,25,11.43328278672575,False,crossing,1.0,0.0,1.0,1.0,,0.75
crossing_0083,crossing,crossing,give_way,mpc,MPC,159.61144502284452,1219.7727522712703,11.663100000045974,12.16478559194601,vlcc,handysize_bulker,power_driven,good,14361.284441475149,15.889774220163849,212.35327490639108,1078.5222178606593,1.7427501438230746,True,True,False,-5.274237109742078,5.513171666423008,613.8692797845524,87,18.37145061744712,False,crossing,1.0,0.0,1.0,1.0,,0.75
